objectid,filename,title,publisher,composer,lyricist,date,genre,subject,type,format,rights,rightsstatement
sb_0001,charley_my_boy.jpeg,Charley My Boy,"Donaldson, Walter, 1893-1947","Fiorito, Ted, 1900-1971","Kahn, Gus, 1886-1941",1924,Ragtime music; Jazz; Humorous songs; Novelty songs,Love songs; Humorous songs; Courtship,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0002,keep_away_from_the_fellow_who_owns_an_automobile.jpeg,Keep Away from the Fellow Who Owns and Automobile,"Waterson, Berlin & Snyder Co.","Berlin, Iriving, 1888-1989","Berlin, Irving, 1888-1989",1912,Ragtime music; Popular music,Transportation; Couples; Kissing; Warnings Courtship,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0003,if_he_can_fight_like_he_can_love.jpeg,"If He Can Fight-Like He Can Love Good Night, Germany!","Leo Feist, Inc. ","Meyer, George W., 1884-1959","Clarke, Grant; Rogers, Howard, E. ",1918,Popular music; Humorous songs; War songs; Novelty songs,"World War, 1914-1918; Love songs; War songs; Germany",Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0004,could_the_dreams_of_a_Dreamer_come_true.jpeg,Could the Dreams of a Dreamer Come True,Joe Morris Music Company,"Lange, Arthur, 1889-1956","Branen, Jeff T., 1872-1927",1915,Ballads; Popular music; Waltzes (Music),Love songs; Dreams; Romances (Music),Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0005,oh_baby.jpeg,Oh Baby (Don't Say No - Say Maybe),"Irving Berlin, Inc. ","Donaldson, Walter, 1893-1947","De Sylva, B. G. (Buddy Guard), 1896-1950",1923,Popular music; Jazz;Ragtime music,"Love songs; Romances (Music); Marriage; Marriage proposals",Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0006,come_back_to_erin.jpeg,Come back to Erin,Eclipse Publishing Co. ,"Claribel, 1830-1869","Claribel, 1830-1869",1909,Popular music; Marches (Music),Love songs; Ireland; Lovesickness; Desire; Reunions,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0007,theres_a_Cradle_in_caroline.jpeg,There's a Cradle in Caroline!,"Waterson, Berlin & Snyder Co.","Ahlert, Fred E., 1892-1953","Lewis, Sam M., 1885-1959; Young, Joe 1889-1939",1927,Jazz; Popular music; Foxtrots (Music),Travel; Home; Homecoming,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0008,let_us_waltz_as_we_say_goodbye.jpeg,Let Us Waltz as We Say Goodbye,Harold Rossiter Music Company,"Beiner, Art. L. (Arthur L.)","Beiner, Art. L. (Arthur L.)",1925,"Popular music; Waltzes (Music); Dance music",Love songs; Sadness in Music; Goodbyes,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0009,isle_damour.jpeg,Isle D'Amour,"Leo Feist, Inc. ","Edwards, Leo","Carroll, Earl",1913,Popular music; Ballads; Waltzes (Music),Love songs; Infatuation,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
sb_0010,whatll_you_do.jpeg,What'll you Do?,"Leo Feist, Inc. ","Conn, Chester, 1896-1973","Miller, Ned, 1899-1990",1927,Foxtrots (Music); Popular music,Love songs; Regret; Remorse,Image;StillImage,image/jpeg,Public Domain,https://rightsstatements.org/vocab/NoC-US/1.0/
